symbol,date,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
TFAS.JK,2024-03-31,208118800523.0,37996806988.0,246115607511.0,,,3116769360.0,57917846720.0,2418388812.0,60336235532.0,185779371979.0,57102829021.0,183527270859.0,117864447071.0,112968000511.0,4896446560.0,4959949191.0,9856395751.0,-11812007463.0,-1955611712.0,,-22076305.0,-1933535407.0,1914059826.0,-41551886.0,,1652594364.9572651,-194707146.0,1180835000.0,-1512178124.0,-526050270.0,,,
TRON.JK,2024-03-31,167468065538.0,96498131090.0,263966196628.0,,,38414120445.0,17314058670.0,33184924270.0,50498982940.0,213467213688.0,35437406933.0,213467213688.0,30742764432.0,22134675632.0,8608088800.0,5834423821.0,14442512621.0,-12148074912.0,2294437709.0,,,2294437709.0,843434716.0,3137872425.0,,2699338481.1764708,-10982511047.0,-3887580846.0,11990000139.0,-2880091754.0,3760094286.0,-7222416761.0,
GOLD.JK,2024-03-31,61887050000.0,357480240000.0,419367290000.0,,,38954045000.0,36023702000.0,4116117000.0,40139819000.0,379227471000.0,2113346000.0,379226127000.0,12338030000.0,4534772000.0,7803258000.0,2609923000.0,10413181000.0,-5313206000.0,5099975000.0,-200171000.0,17000.0,4899804000.0,,,,1275986197.9166665,2347925000.0,-11573400000.0,-248333000.0,-9473808000.0,9166733000.0,11514658000.0,
NETV.JK,2024-03-31,692200391312.0,505828791580.0,1198029182892.0,,,17166305397.0,1927295403430.0,63983952336.0,1991279355766.0,-793250172874.0,1139349265685.0,-761478507322.0,81788646207.0,63331807975.0,18456838232.0,60814625189.0,79271463421.0,-155873621334.0,-76602157913.0,12374599125.0,-449985180.0,-63777573608.0,23439832595.0,-53162325318.0,,21259191202.666668,11958907414.0,3916208084.0,-6018291359.0,9856824139.0,4595610000.0,16554517414.0,
DPNS.JK,2024-03-31,250365153985.0,94384719083.0,344749873068.0,,,38660706140.0,6134463660.0,8281117883.0,14415581543.0,330334291525.0,,330334291525.0,17842664717.0,13333218135.0,4509446582.0,6607150618.0,11116597200.0,-8361088471.0,2755508729.0,-89383777.0,,2666124952.0,,,,331195646.2111801,15281287285.0,-33033094376.0,,-17751807091.0,8300000.0,15289587285.0,
INTP.JK,2024-03-31,8600757000000.0,20173243000000.0,28774000000000.0,,,2519995000000.0,6271436000000.0,1295024000000.0,7566460000000.0,21207540000000.0,2767101000000.0,21207540000000.0,4082568000000.0,2902396000000.0,1180172000000.0,876564000000.0,2056736000000.0,-1758719000000.0,298017000000.0,-59988000000.0,,238029000000.0,48115000000.0,346132000000.0,,3431295949.257604,-526481000000.0,-26794000000.0,-118302000000.0,-671577000000.0,27020000000.0,-499461000000.0,
SFAN.JK,2024-03-31,227501264619.0,29062906721.0,256564171340.0,,,41237684036.0,62584719681.0,4271156206.0,66855875887.0,189708295453.0,970870815.0,150347808643.0,-4220684840.0,19770632.0,-4240455472.0,10026945336.0,5786489864.0,-22757297781.0,-16970807917.0,,1836630777.0,-18807438694.0,55567664.0,-16915240253.0,,1359901568.6189444,-129920288.0,-3026386606.0,-136520258.0,-3292827152.0,25811775.0,-104108513.0,
BWPT.JK,2024-03-31,1378524000000.0,8711119000000.0,10089643000000.0,,,63008000000.0,3579257000000.0,4277218000000.0,7856475000000.0,2233168000000.0,4604143000000.0,2220540000000.0,943361000000.0,666168000000.0,277193000000.0,94311000000.0,371504000000.0,-289321000000.0,82183000000.0,-31297000000.0,3393000000.0,47493000000.0,121033000000.0,203216000000.0,,31041.176470588234,236411000000.0,-6139000000.0,-194633000000.0,35639000000.0,6200000000.0,242611000000.0,
JAWA.JK,2024-03-31,337190877756.0,3393457344476.0,3730648222232.0,,,9076653171.0,681196028568.0,2034421692965.0,2715617721533.0,1015030500699.0,1879844379117.0,1006912905806.0,190935051293.0,189394347907.0,1540703386.0,13305619325.0,14846322711.0,-46986903173.0,-32140580462.0,-3901331593.0,-137087892.0,-35904824163.0,45436731222.0,13296150760.0,,16246526770.588236,-53124441966.0,-27203538544.0,82373410921.0,2045430411.0,27115581348.0,-26008860618.0,
DART.JK,2024-03-31,122534504000.0,6169700607000.0,6292235111000.0,,,35768596000.0,1067326327000.0,3562456306000.0,4629782633000.0,1662452478000.0,3481533091000.0,1662480945000.0,115552660000.0,65741190000.0,49811470000.0,37676752000.0,87488222000.0,-159411375000.0,-71923153000.0,-4153476000.0,-999000.0,-76076629000.0,82002087000.0,10078934000.0,,3169817916.6666665,9966183000.0,-2371034000.0,-10598867000.0,-3003718000.0,2181466000.0,12147649000.0,
DYAN.JK,2024-03-31,490437504640.0,673247432657.0,1163684937297.0,,,196785287029.0,368989748166.0,164175640104.0,533165388270.0,630519549027.0,243829316972.0,604840820992.0,383391976838.0,245083739732.0,138308237106.0,87736899170.0,226045136276.0,-180019826173.0,46025310103.0,-8291028227.0,-2649855118.0,40384136994.0,5256017321.0,51281327424.0,,4487126332.666667,1533927785.0,-15930179973.0,-26263236436.0,-40659488624.0,15262156949.0,16796084734.0,
INTA.JK,2024-03-31,771781000000.0,1631421000000.0,2403202000000.0,,,90159000000.0,773807000000.0,3574895000000.0,4348702000000.0,-1945500000000.0,3656031000000.0,-1738045000000.0,283399000000.0,216735000000.0,66664000000.0,43063000000.0,109727000000.0,-110261000000.0,-534000000.0,-13839000000.0,-6382000000.0,-7991000000.0,36663000000.0,36129000000.0,,3995.5,3758000000.0,5467000000.0,-20529000000.0,-11304000000.0,476000000.0,4234000000.0,
JARR.JK,2024-03-31,1321320053973.0,2290080527226.0,3611400581199.0,,,192255603339.0,311786612720.0,1827911493045.0,2139698105765.0,1471702475434.0,1907427447937.0,1471702475434.0,826998281252.0,761736722564.0,65261558688.0,10787736682.0,76049295370.0,-37419859894.0,38629435476.0,-8498475804.0,,30130959672.0,19800071192.0,58429506668.0,,9242625666.25767,82340572692.0,-28987906716.0,-21314670622.0,32037995354.0,29437906716.0,111778479408.0,
ASLI.JK,2024-03-31,286213646214.0,251675737532.0,537889383746.0,,,7231783849.0,50806418404.0,10695087560.0,61501505964.0,476387877782.0,34036960076.0,475102619833.0,69792821972.0,50506248074.0,19286573898.0,13683958216.0,32970532114.0,-29361755939.0,3608776175.0,-1965636719.0,4820845.0,1638318611.0,1968444594.0,5577220769.0,,381699941051.5548,-43947435284.0,-80146796189.0,116399452302.0,-7694779171.0,146796189.0,-43800639095.0,
KOKA.JK,2024-03-31,132793522957.0,68574378438.0,201367901395.0,,,12671403313.0,28572081545.0,564429933.0,29136511478.0,172231389917.0,2147663503.0,172231389917.0,21289752444.0,15699047744.0,5590704700.0,4036623645.0,9627328345.0,-8138642979.0,1488685366.0,-526234477.0,,962450889.0,,,,2830737908.823529,-16172948722.0,-984403859.0,1059346019.0,-16098006562.0,984403859.0,-15188544863.0,
KIOS.JK,2024-03-31,64843692189.0,98360722449.0,163204414638.0,,,1497745756.0,15517839701.0,578160973.0,16096000674.0,147108413964.0,,146653851743.0,20132355026.0,19479494085.0,652860941.0,6479895733.0,7132756674.0,-12959411053.0,-5826654379.0,1262930633.0,4803791.0,-4568527537.0,,,,1074947655.764706,392400201.0,-15861790.0,,376538411.0,15861790.0,408261991.0,
HALO.JK,2024-03-31,116714693481.0,134500092230.0,251214785711.0,,,14694227010.0,43619469105.0,37556442022.0,81175911127.0,170038874584.0,7181647715.0,170038874584.0,30565422800.0,26089725587.0,4475697213.0,3947131680.0,8422828893.0,-7906214171.0,516614722.0,-158341480.0,,358273242.0,,,,5971220700.0,18167288300.0,-318696171.0,-9699344747.0,8149247382.0,318696171.0,18485984471.0,
KOBX.JK,2024-03-31,2423022812101.0,1128625586941.0,3551648399042.0,,,58626806420.0,2729285747954.0,380710103605.0,3109995851559.0,441652547483.0,1545456727240.0,439152337466.0,531936305305.0,430824307458.0,101111997847.0,67281701230.0,168393699077.0,-206115170586.0,-37721471509.0,-3955601019.0,229660506.0,-41906733034.0,48754094424.0,11032622915.0,,2272500000.0,266722504152.0,-1935568871.0,-320396312241.0,-55609376960.0,4578870244.0,271301374396.0,
ASHA.JK,2024-03-31,92978903755.0,108485763983.0,201464667738.0,,,1892366156.0,31383726966.0,10956458545.0,42340185511.0,159124482227.0,10754063661.0,159124482227.0,54284598171.0,47061762741.0,7222835430.0,7774738996.0,14997574426.0,-14816525829.0,181048597.0,-162078620.0,,18969977.0,216369686.0,397418283.0,,4742494250.0,-124155494.0,-14861860.0,800270799.0,661253445.0,14861860.0,-109293634.0,
ERAL.JK,2024-03-31,1564661323862.0,498593311343.0,2063254635205.0,,,320236958433.0,463436531923.0,94084840959.0,557521372882.0,1505733262323.0,112141047087.0,1504945248549.0,1091783820367.0,955232728175.0,136551092192.0,98978229115.0,235529321307.0,-183901096347.0,51628224960.0,-11018658420.0,-669258.0,40610235798.0,2191422057.0,53819647017.0,,5186492439.08046,-148123115612.0,-12874744413.0,-11996901461.0,-172994761486.0,11856677608.0,-136266438004.0,
BAIK.JK,2024-03-31,106281517152.0,30549079972.0,136830597124.0,,,24606830915.0,10741798890.0,429171917.0,11170970807.0,125659626317.0,261733047.0,124998999806.0,41840827542.0,32022274846.0,9818552696.0,5981611139.0,15800163835.0,-11989392941.0,3810770894.0,,-106183644.0,3916954538.0,29741800.0,3840512694.0,,1155443816.519174,-37344249608.0,-4118797887.0,62526518932.0,21063471437.0,4118797887.0,-33225451721.0,
HRME.JK,2024-03-31,24396991122.0,893099283993.0,917496275115.0,,,15228299518.0,34434667446.0,245128035725.0,279562703171.0,637933571944.0,239508219176.0,637931264211.0,26225115055.0,10465055102.0,15760059953.0,13284191504.0,29044251457.0,-31729196468.0,-2684945011.0,-255550391.0,10437.0,-2940505839.0,3527042277.0,842097266.0,,6001032324.489796,545870032.0,-612261066.0,-416268134.0,-482659168.0,612261066.0,1158131098.0,
MERK.JK,2024-03-31,829536055000.0,237799924000.0,1067335979000.0,,,200589990000.0,206329911000.0,41472722000.0,247802633000.0,819533346000.0,,819533346000.0,249496112000.0,174709596000.0,74786516000.0,47092976000.0,121879492000.0,-90731956000.0,31147536000.0,-7492983000.0,0.0,23654553000.0,95219000.0,31242755000.0,,446312.320754717,5863377000.0,-949482000.0,-5760730000.0,-846835000.0,949482000.0,6812859000.0,
GEMS.JK,2024-03-31,885613582.0,469732159.0,1355345741.0,,,350878920.0,446643484.0,71198388.0,517841872.0,837503869.0,158618090.0,825756966.0,715641070.0,378293895.0,337347175.0,111352084.0,448699259.0,-222195144.0,226504115.0,-51370682.0,3415066.0,171718367.0,3357641.0,229861756.0,,5921323000.0,138840970.0,-9638104.0,-94277296.0,34925570.0,3225382.0,142066352.0,
ACRO.JK,2024-03-31,74828893671.0,82727713091.0,157556606762.0,,,44163633887.0,23753468622.0,2514748636.0,26268217258.0,131288389504.0,20754325000.0,131288389504.0,13168704267.0,7153361175.0,6015343092.0,1101107489.0,7116450581.0,-3572821946.0,3543628635.0,-750988244.0,,2792640391.0,445798600.0,3989427235.0,,2471363177.8761063,-11235673558.0,-104467218.0,53252650047.0,41912509271.0,104467218.0,-11131206340.0,
ADMR.JK,2024-03-31,892405040.0,889946337.0,1782351377.0,,,620308138.0,201301009.0,428229109.0,629530118.0,1152821259.0,101231790.0,1091513102.0,274535673.0,117473633.0,157062040.0,11282078.0,168344118.0,-21029682.0,147314436.0,-31677400.0,-409841.0,116046877.0,6944659.0,154259095.0,,41445313214.28571,139724737.0,-77097712.0,-29579546.0,33047479.0,77097712.0,216822449.0,
SMAR.JK,2024-03-31,18696116000000.0,20025620000000.0,38721736000000.0,,,903786000000.0,9843371000000.0,9580082000000.0,19423453000000.0,19298283000000.0,14976730000000.0,19284948000000.0,17882988000000.0,16166530000000.0,1716458000000.0,1353436000000.0,3069894000000.0,-2862467000000.0,207427000000.0,-29556000000.0,2000000.0,177869000000.0,297018000000.0,504445000000.0,,2868854838.709677,949783000000.0,-482759000000.0,-1214108000000.0,-747084000000.0,474197000000.0,1423980000000.0,
ICBP.JK,2024-03-31,41289519000000.0,82306845000000.0,123596364000000.0,,,22743959000000.0,11224464000000.0,47793244000000.0,59017708000000.0,64578656000000.0,44832826000000.0,43086665000000.0,19921905000000.0,12320546000000.0,7601359000000.0,2799523000000.0,10400882000000.0,-7002160000000.0,3398722000000.0,-674797000000.0,371851000000.0,2352074000000.0,1702533000000.0,5101255000000.0,,11643.930693069307,1584108000000.0,-312239000000.0,-436197000000.0,835672000000.0,320723000000.0,1904831000000.0,
TNCA.JK,2024-03-31,23681554270.0,29803836482.0,53485390752.0,,,2558366792.0,7754771900.0,1162969939.0,8917741839.0,44567648913.0,1175035036.0,44570062564.0,16697853905.0,11654285901.0,5043568004.0,3676437254.0,8720005258.0,-7446618817.0,1273386441.0,-211888593.0,857433.0,1060640415.0,31741688.0,1305128129.0,,420889053.5714286,-499150537.0,,-124528200.0,-623678737.0,,,
MREI.JK,2024-03-31,,,4864799299034.0,16771386766.0,,,,,3385595204997.0,1474388085713.0,,1474388085713.0,712527410960.0,,,,,,20631968928.0,14241169679.0,,34873138607.0,,,,517791681.0,-8284152807.0,16289828120.0,,8005675313.0,74378940.0,-8209773867.0,34873138607.0
INDX.JK,2024-03-31,3707499092.0,47305820487.0,51013319579.0,,,2972496063.0,7802381985.0,9055880565.0,16858262550.0,34155057029.0,8334359727.0,34150293678.0,82258821.0,518302467.0,-436043646.0,3093819431.0,2657775785.0,-6176480667.0,-3518704882.0,,1744.0,-3518706626.0,,,,437650077.86069655,-3238092216.0,,2350576665.0,-887515551.0,,,
APEX.JK,2024-03-31,79608408.0,180038605.0,259647013.0,,,7494890.0,17609973.0,175325321.0,192935294.0,66711719.0,129900739.0,66711719.0,23786450.0,,23786450.0,20160807.0,43947257.0,-41704156.0,2243101.0,-538576.0,,1704525.0,1077208.0,3320309.0,,2840875000.0000005,2705742.0,-2641292.0,-1182561.0,-1118111.0,2656205.0,5361947.0,
GGRM.JK,2024-03-31,54970982000000.0,38299196000000.0,93270178000000.0,,,4466011000000.0,29674163000000.0,2137599000000.0,31811762000000.0,61458416000000.0,12552867000000.0,61458344000000.0,26264938000000.0,23472554000000.0,2792384000000.0,1870107000000.0,4662491000000.0,-3871244000000.0,791247000000.0,-195674000000.0,1000000.0,595572000000.0,190658000000.0,981905000000.0,,1921.2,2081198000000.0,-1038476000000.0,-200000000000.0,842722000000.0,1046986000000.0,3128184000000.0,
HITS.JK,2024-03-31,84432383.0,192150767.0,276583150.0,,,44355838.0,46817756.0,122774399.0,169592155.0,106990995.0,76605284.0,65233190.0,29616443.0,23616106.0,6000337.0,3522458.0,9522795.0,-7483916.0,2038879.0,-401496.0,-519425.0,2156808.0,1025775.0,3064654.0,,6957445161.290322,20146607.0,-16239288.0,-292726.0,3614593.0,17020769.0,37167376.0,
RONY.JK,2024-03-31,6644243480.0,1653182230.0,8297425710.0,,,64644778.0,3506168243.0,29257923.0,3535426166.0,4761999544.0,1754675361.0,4761999544.0,521915271.0,210560430.0,311354841.0,283507152.0,594861993.0,-567173615.0,27688378.0,,,27688378.0,199500.0,27887878.0,,1384418900.0,57910524.0,,,57910524.0,,,
INPP.JK,2024-03-31,2116245316745.0,7524346364022.0,9640591680767.0,,,457486940809.0,1093807232581.0,2488917781448.0,3582725014029.0,6057866666738.0,1903951622066.0,5451089251495.0,262583176143.0,89237006706.0,173346169437.0,125701162589.0,299047332026.0,-158552431652.0,140494900374.0,-6540139321.0,16068885895.0,117885875158.0,43432309444.0,183927209818.0,,11184618136.432638,42845491760.0,-152575159730.0,148466797460.0,38737129490.0,152644659730.0,195490151490.0,
GHON.JK,2024-03-31,131792869000.0,1241190545000.0,1372983414000.0,,,16421572000.0,330878803000.0,190575484000.0,521454287000.0,851529127000.0,402240325000.0,829394901000.0,53920980000.0,19609211000.0,34311769000.0,8226220000.0,42537989000.0,-24761647000.0,17776342000.0,-1292136000.0,373552000.0,16110654000.0,7884049000.0,25660391000.0,,537021800.0,25011268000.0,-102052593000.0,6402391000.0,-70638934000.0,103102652000.0,128113920000.0,
SAPX.JK,2024-03-31,257935502925.0,74446503790.0,332382006715.0,,,59207786103.0,145296777792.0,7744119987.0,153040897779.0,179341108936.0,64699788785.0,179341108936.0,189963260751.0,149384709746.0,40578551005.0,37246205144.0,77824756149.0,-74907373036.0,2917383113.0,-641824284.0,,2275558829.0,1711543943.0,4628927056.0,,833538032.6007326,7808221825.0,1253276962.0,-13105935930.0,-4044437143.0,709723038.0,8517944863.0,
SSTM.JK,2024-03-31,216829644409.0,195816812891.0,412646457300.0,,,3145596184.0,134771886579.0,36014052852.0,170785939431.0,241860517869.0,,241860517869.0,61739072767.0,56250375089.0,5488697678.0,3310773969.0,8799471647.0,-2110157537.0,6689314110.0,-690678565.0,,5998635545.0,56591548.0,6745905658.0,,1199727109.0,1257754497.0,-490000000.0,,767754497.0,490000000.0,1747754497.0,
WIFI.JK,2024-03-31,314574004710.0,1707862016482.0,2022436021192.0,,,35768737603.0,289479038144.0,959969895905.0,1249448934049.0,772987087143.0,960791618891.0,771005006772.0,139781211970.0,59851711698.0,79929500272.0,15654491646.0,95583991918.0,-50537605873.0,45046386045.0,-15759398823.0,-101817815.0,29388805037.0,19271528558.0,64317914603.0,,2323225694.624506,-159163330830.0,-249999656705.0,404859186008.0,-4303801527.0,249999656705.0,90836325875.0,
AMIN.JK,2024-03-31,241196346116.0,102470930458.0,343667276574.0,,,3946215416.0,156707399706.0,13118625651.0,169826025357.0,173841251217.0,50952350891.0,173841251217.0,76240835987.0,66641691887.0,9599144100.0,3761147751.0,13360291851.0,-8604931644.0,4755360207.0,,,4755360207.0,1227284635.0,5982644842.0,,1080763683.4090908,996910920.0,-887511388.0,-5099204973.0,-4989805441.0,887511388.0,1884422308.0,
PORT.JK,2024-03-31,1029933436000.0,654860673000.0,1684794109000.0,,,239764055000.0,516447930000.0,154636649000.0,671084579000.0,1013709530000.0,200805067000.0,1083640237000.0,303604904000.0,227232190000.0,76372714000.0,19167046000.0,95539760000.0,-40979485000.0,54560275000.0,-14423061000.0,-8902127000.0,27792983000.0,4959304000.0,59519579000.0,,2813054959.51417,66608450000.0,-116593000.0,-52686683000.0,13805174000.0,116593000.0,66725043000.0,
CPRO.JK,2024-03-31,2524971000000.0,4521660000000.0,7046631000000.0,,,99024000000.0,2325749000000.0,1202269000000.0,3528018000000.0,3518613000000.0,2095931000000.0,3515564000000.0,2289408000000.0,1869286000000.0,420122000000.0,229366000000.0,649488000000.0,-516966000000.0,132522000000.0,-33612000000.0,25000000.0,98885000000.0,42864000000.0,175386000000.0,,58167.64705882353,149152000000.0,-55203000000.0,-70238000000.0,23711000000.0,55220000000.0,204372000000.0,
KRAS.JK,2024-03-31,631122000.0,2163128000.0,2794250000.0,,,97853000.0,2107769000.0,226746000.0,2334515000.0,459735000.0,1817059000.0,488965000.0,231793000.0,211852000.0,19941000.0,26924000.0,46865000.0,-72742000.0,-25877000.0,-1469000.0,1797000.0,-29143000.0,30606000.0,4729000.0,,19428666.666666668,-20577000.0,2741000.0,-6057000.0,-23893000.0,1235000.0,-19342000.0,
ABDA.JK,2024-03-31,,,2713894490000.0,681964220000.0,,,,,1199926707000.0,1513967783000.0,,1513917291000.0,249566516000.0,,,,,,10731847000.0,1311815000.0,,12043662000.0,,,,633995.4736842106,-6882170000.0,-33805989000.0,0.0,-40688159000.0,2212204000.0,-4669966000.0,12043662000.0
GTBO.JK,2024-03-31,15366120.0,46170869.0,61536989.0,,,6779310.0,7854764.0,2071576.0,9926340.0,51610649.0,,51610649.0,11641181.0,5683204.0,5957977.0,3470883.0,9428860.0,-6980610.0,2448250.0,-538615.0,,1909635.0,,,,1909635000.0,-573373.0,,-700000.0,-1273373.0,,,
PEVE.JK,2024-03-31,983495726422.0,29346884224.0,1012842610646.0,,,4094962498.0,727006761393.0,43254196363.0,770260957756.0,242581652890.0,88739354990.0,242581498804.0,714492921204.0,628603028721.0,85889892483.0,70745894158.0,156635786641.0,-143001689744.0,13634096897.0,-2999501317.0,-627387.0,10635222967.0,1500401043.0,15134497940.0,,1766648333.3887043,-14276860475.0,-1953983083.0,15833706464.0,-397137094.0,2093622724.0,-12183237751.0,
RGAS.JK,2024-03-31,66756963181.0,23273873640.0,90030836821.0,,,26568371584.0,2593202094.0,728824537.0,3322026631.0,86708810190.0,,86626858399.0,20530026602.0,14407709664.0,6122316938.0,4521856005.0,10644172943.0,-8817534226.0,1826638717.0,-615650315.0,-1421194.0,1212409596.0,,,,1460734453.0120482,3867852695.0,-708066423.0,,3159786272.0,721042460.0,4588895155.0,
MDIA.JK,2024-03-31,7128200047000.0,866564001000.0,7994764048000.0,,,10184264000.0,6038377161000.0,96548456000.0,6134925617000.0,1859838431000.0,1798147606000.0,1842094464000.0,173199428000.0,75274815000.0,97924613000.0,74408607000.0,172333220000.0,-239725287000.0,-67392067000.0,-3449122000.0,-36959000.0,-70804230000.0,,,,39215538.4,-317480000.0,1312488000.0,-151996000.0,843012000.0,-887488000.0,-1204968000.0,
NTBK.JK,2024-03-31,109402085569.0,21646584704.0,131048670273.0,,,12359461576.0,30620728465.0,5367895999.0,35988624464.0,95060045809.0,896656430.0,95060045809.0,21749289479.0,18338094906.0,3411194573.0,3353721536.0,6764916109.0,-6667735875.0,97180234.0,-85501077.0,,11679157.0,,,,2919789250.0,746730930.0,-75221500.0,-10084765817.0,-9413256387.0,75221500.0,821952430.0,
CNTX.JK,2024-03-31,14031440.0,17876801.0,31908241.0,,,203107.0,51223889.0,2265928.0,53489817.0,-21581576.0,16000000.0,-21581576.0,6999357.0,7023551.0,-24194.0,784736.0,760542.0,-2217230.0,-1456688.0,0.0,,-1456688.0,711427.0,-745261.0,,-145668800.0,-573820.0,40340.0,663664.0,130184.0,-38174.0,-611994.0,
AXIO.JK,2024-03-31,627471828555.0,255992172261.0,883464000816.0,,,28743274386.0,316495996801.0,27313824038.0,343809820839.0,539654179977.0,129263481675.0,518600800078.0,201105316982.0,170142219885.0,30963097097.0,22120932592.0,53084029689.0,-45703889990.0,7380139699.0,-835272159.0,1219570961.0,5325296579.0,1762708433.0,9142848132.0,,5851974262.6373625,-78119164967.0,-3860781296.0,51509060721.0,-30470885542.0,3860781296.0,-74258383671.0,
PICO.JK,2024-03-31,342537509105.0,369087708514.0,711625217619.0,,,5228912734.0,182619063258.0,321624050194.0,504243113452.0,207382104167.0,113815439111.0,207382104167.0,172189093177.0,155903135132.0,16285958045.0,9379012705.0,25664970750.0,-23440240143.0,2224730607.0,205830420.0,,2430561027.0,,,,565246750.4651163,378622108.0,1058550092.0,-1474381657.0,-37209457.0,90872677.0,469494785.0,
UFOE.JK,2024-03-31,244167402795.0,237295569372.0,481462972167.0,,,14014941644.0,251822508901.0,15904100212.0,267726609113.0,213736363054.0,96895363930.0,213105642187.0,233033717702.0,210119243914.0,22914473788.0,20778695431.0,43693169219.0,-40075614449.0,3617554770.0,-853695647.0,17521775.0,2746337348.0,1825699414.0,5443254184.0,,2288614456.666667,3384949470.0,-4329408851.0,3564729547.0,2620270166.0,2284270692.0,5669220162.0,
SRSN.JK,2024-03-31,567456418000.0,345944355000.0,913400773000.0,,,17013814000.0,172280569000.0,21741158000.0,194021727000.0,719379046000.0,124166790000.0,719379046000.0,228194939000.0,181329292000.0,46865647000.0,35011887000.0,81877534000.0,-70843370000.0,11034164000.0,-2440638000.0,,8593526000.0,2782341000.0,13816505000.0,,6009458.741258741,34349122000.0,-6451966000.0,-29336692000.0,-1439536000.0,6451966000.0,40801088000.0,
MKTR.JK,2024-03-31,540743334000.0,823792336000.0,1364535670000.0,,,172542312000.0,279580107000.0,495763045000.0,775343152000.0,589192518000.0,687063271000.0,587659672000.0,247639985000.0,214865855000.0,32774130000.0,15037710000.0,47811840000.0,-38613340000.0,9198500000.0,-4481990000.0,41503000.0,4675007000.0,10063750000.0,19262250000.0,,11987197.435897436,896177000.0,-42225172000.0,25627509000.0,-15701486000.0,38233989000.0,39130166000.0,
ALKA.JK,2024-03-31,318038806000.0,11359202000.0,329398008000.0,,,265030566000.0,117903369000.0,2366481000.0,120269850000.0,209128158000.0,86170000.0,209058461000.0,13822661000.0,8788779000.0,5033882000.0,3192148000.0,8226030000.0,-9805475000.0,-1579445000.0,332000.0,43258000.0,-1622371000.0,20254000.0,-1559191000.0,,506990.9375,-49207852000.0,-3687325000.0,-74626000.0,-52969803000.0,3687325000.0,-45520527000.0,
