symbol,date,total_current_assets,total_non_current_assets,total_assets,cash_only,total_cash_and_due_from_banks,cash_and_short_term_investments,total_current_liabilities,total_non_current_liabilities,total_liabilities,total_equity,total_debt,stockholders_equity,total_revenue,cost_of_revenue,gross_income,operating_expenses,operating_income,non_operating_income,pretax_income,income_taxes,minorities,net_income,interest_expense_non_operating,ebit,ebitda,diluted_shares_outstanding,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_increased_decreased,capital_expenditure,free_cash_flow,perating_income
MICE.JK,2024-03-31,670757546393.0,684875752077.0,1355633298470.0,,,53486339710.0,411236443680.0,48249492849.0,459485936529.0,896147361941.0,298067129188.0,896131901649.0,260029079910.0,134604608390.0,125424471520.0,122488689044.0,247913160564.0,-238447779524.0,9465381040.0,-3704721340.0,-4270.0,5760663970.0,6522197458.0,15987578498.0,,592051795.4779034,-17854126632.0,-934880823.0,11967621515.0,-6821385940.0,934880823.0,-16919245809.0,
BLUE.JK,2024-03-31,61282180642.0,47000387673.0,108282568315.0,,,9200534182.0,7040607354.0,4935549975.0,11976157329.0,96306410986.0,5878922545.0,96306410986.0,35432682588.0,23936236723.0,11496445865.0,6080341051.0,17576786916.0,-11970369320.0,5606417596.0,,,5606417596.0,,,,431262892.0,609362779.0,-2082574250.0,,-1473211471.0,2082574250.0,2691937029.0,
SKLT.JK,2024-03-31,713572889870.0,630654176179.0,1344227066049.0,,,173592175567.0,385140752587.0,119471497629.0,504612250216.0,839614815833.0,178994812916.0,638379808073.0,518475862719.0,389027849274.0,129448013445.0,102539139849.0,231987153294.0,-204229551099.0,27757602195.0,-5086567254.0,103974.0,22670930967.0,1635806059.0,29393408254.0,,1036148581.6727606,18054119707.0,-82219813465.0,-9201647064.0,-73367340822.0,83846079695.0,101900199402.0,
VIVA.JK,2024-03-31,2905055123000.0,4979377779000.0,7884432902000.0,,,18461854000.0,13074148993000.0,292348377000.0,13366497370000.0,-5482064468000.0,3805764504000.0,-5979298413000.0,361601772000.0,93113893000.0,268487879000.0,195785623000.0,464273502000.0,-819619737000.0,-355346235000.0,-3855759000.0,-7264818000.0,-351937176000.0,207538903000.0,-147807332000.0,,16464270.4,5621665000.0,-14337161000.0,-92559000.0,-8808055000.0,13298799000.0,18920464000.0,
WIKA.JK,2024-03-31,29253941880000.0,35368571304000.0,64622513184000.0,,,1950273912000.0,17489560723000.0,38753607084000.0,56243167807000.0,8379345377000.0,39387555262000.0,4617129267000.0,3531653909000.0,3246831117000.0,284822792000.0,252022540000.0,536845332000.0,-1719974721000.0,-1183129389000.0,-9138276000.0,-59518586000.0,-1132749079000.0,711772324000.0,-471357065000.0,,5891541861.0578,-442779367000.0,-757820224000.0,-84609391000.0,-1285208982000.0,520181216000.0,77401849000.0,
NICE.JK,2024-03-31,189055494122.0,133336593167.0,322392087289.0,,,94352387236.0,142921236297.0,36422027703.0,179343264000.0,143048823289.0,7349137625.0,143047930646.0,136321330176.0,86769931523.0,49551398653.0,44293189270.0,93844587923.0,-87624114132.0,6220473791.0,-3890613022.0,-512879.0,2330373648.0,,,,6082020000.0,59788690742.0,-13848798295.0,-468362648.0,45471529799.0,13992942439.0,73781633181.0,
ASSA.JK,2024-03-31,1811791880691.0,5850527716010.0,7662319596701.0,,,839589517700.0,1845649548781.0,3133851182981.0,4979500731762.0,2682818864939.0,3981351434109.0,1927832214576.0,1181858146310.0,842375153872.0,339482992438.0,175326460559.0,514809452997.0,-409398087112.0,105411365885.0,-23968855054.0,10433868844.0,71008641987.0,72874369370.0,178285735255.0,,3690677857.9521832,191161173630.0,-160154496161.0,48645174742.0,79651852211.0,34176630803.0,225337804433.0,
PCAR.JK,2024-03-31,79028021655.0,32153666931.0,111181688586.0,,,2783350046.0,22668386284.0,20723380548.0,43391766832.0,67789921754.0,24670175968.0,70227327752.0,78127719901.0,69356720142.0,8770999759.0,7113438512.0,15884438271.0,-13266357311.0,2618080960.0,,77814.0,2618003146.0,330530985.0,2948611945.0,,1179280696.3963964,-14950041130.0,-28936938.0,794998791.0,-14183979277.0,28936938.0,-14921104192.0,
APII.JK,2024-03-31,295278282184.0,320151982218.0,615430264402.0,,,20069113842.0,185271168685.0,17800293527.0,203071462212.0,412358802190.0,134754313448.0,394199147604.0,77036578834.0,35935308919.0,41101269915.0,34993766933.0,76095036848.0,-72106082543.0,3988954305.0,-1934922452.0,260869051.0,1793162802.0,4131918511.0,8120872816.0,,896581401.0,27380204096.0,-41623211718.0,3844585258.0,-10398422364.0,41623211718.0,69003415814.0,
PNSE.JK,2024-03-31,54127637196.0,300690030361.0,354817667557.0,,,19608344277.0,82317485175.0,76829158423.0,159146643598.0,195671023959.0,68573209600.0,124829526341.0,41217463959.0,21216047234.0,20001416725.0,15625870760.0,35627287485.0,-39480564753.0,-3853277268.0,-43342968.0,-276056340.0,-3620563896.0,,,,724112779.2,-1973899510.0,-5401238997.0,-4561363633.0,-11936502140.0,5978880986.0,4004981476.0,
TOOL.JK,2024-03-31,98268648923.0,117397668066.0,215666316989.0,,,10064586284.0,6954573308.0,17693081262.0,24647654570.0,191018662419.0,19253005711.0,191010733308.0,26108328848.0,15216499770.0,10891829078.0,11753130048.0,22644959126.0,-23791084268.0,-1146125142.0,-21532600.0,-881275.0,-1166776467.0,336621391.0,-809503751.0,,2046976257.894737,9619922271.0,-1821456881.0,-432095756.0,7366369634.0,1821456881.0,11441379152.0,
DATA.JK,2024-03-31,49624361397.0,108403237198.0,158027598595.0,,,5620824567.0,42725053064.0,12182626158.0,54907679222.0,103119919373.0,24686662890.0,103119919373.0,58752380980.0,20682626421.0,38069754559.0,22304460095.0,60374214654.0,-45235325768.0,15138888886.0,-3439990397.0,,11698898489.0,553751547.0,15692640433.0,,1099520534.6804512,10170638165.0,-21835342852.0,-7487972083.0,-19152676770.0,21835342852.0,32005981017.0,
TGUK.JK,2024-03-31,53717603460.0,152322158949.0,206039762409.0,,,4359986624.0,26441407644.0,1290640955.0,27732048599.0,178307713810.0,6000000000.0,178307713810.0,34649405738.0,15102625189.0,19546780549.0,17470330225.0,37017110774.0,-35497478314.0,1519632460.0,-434839368.0,,1084793092.0,285492636.0,1805125096.0,,2522774632.55814,5359934585.0,-36589930438.0,1000000000.0,-30229995853.0,36589930438.0,41949865023.0,
MSTI.JK,2024-03-31,2556390313366.0,227582137094.0,2783972450460.0,,,928986275829.0,616716124937.0,117723303382.0,734439428319.0,2049533022141.0,67210605409.0,2049533022141.0,1119492792508.0,907350640281.0,212142152227.0,86627655044.0,298769807271.0,-168035204702.0,130734602569.0,-25510114264.0,,105224488305.0,2458023645.0,133192626214.0,,2769065481.7105265,104215336336.0,-96191376.0,-178248545653.0,-74129400693.0,4874200788.0,109089537124.0,
PSDN.JK,2024-03-31,12979386246.0,134046088337.0,147025474583.0,,,3238361415.0,22484295077.0,63533796459.0,86018091536.0,61007383047.0,0.0,61007383047.0,1404750800.0,1190684913.0,214065887.0,6574461165.0,6788527052.0,-11863355935.0,-5074828883.0,0.0,0.0,-5074828883.0,0.0,-5074828883.0,,1441712750.8522727,-2896035130.0,0.0,2465000000.0,-431035130.0,0.0,-2896035130.0,
SMMT.JK,2024-03-31,220095612016.0,836246813564.0,1056342425580.0,,,85154408389.0,202317056743.0,33766515103.0,236083571846.0,820258853734.0,,764951036897.0,84388125429.0,70427657900.0,13960467529.0,12646281738.0,26606749267.0,-11843060066.0,14763689201.0,-1195561972.0,778444493.0,12789682736.0,230728262.0,14994417463.0,,3150168161.576355,46969888452.0,-7639248660.0,,39330639792.0,5494463254.0,52464351706.0,
ELSA.JK,2024-03-31,6336232000000.0,3571901000000.0,9908133000000.0,,,2475644000000.0,4345978000000.0,962895000000.0,5308873000000.0,4599260000000.0,1248730000000.0,4597672000000.0,3107783000000.0,2783510000000.0,324273000000.0,112525000000.0,436798000000.0,-200878000000.0,235920000000.0,-52728000000.0,,183192000000.0,27879000000.0,263799000000.0,,7298.4860557768925,528520000000.0,-111586000000.0,-20771000000.0,396163000000.0,112169000000.0,640689000000.0,
ALTO.JK,2024-03-31,127113625035.0,845364774993.0,972478400028.0,,,6720511127.0,163557807106.0,487213821304.0,650771628410.0,321706771618.0,575862478917.0,320248869167.0,27984849521.0,21873695693.0,6111153828.0,6098476876.0,12209630704.0,-11583026437.0,626604267.0,-2685723145.0,-5270753.0,-2053848125.0,624378714.0,1250982981.0,,2184944813.8297877,-842764569.0,339891893.0,-448500161.0,-951372837.0,,,
TOSK.JK,2024-03-31,152523399042.0,43163297726.0,195686696768.0,,,58811483961.0,39038079126.0,8280350348.0,47318429474.0,148368267294.0,19034254771.0,148368259678.0,594130958413.0,584304634242.0,9826324171.0,7334522988.0,17160847159.0,-14781831840.0,2379015319.0,-537080167.0,-253.0,1841935405.0,574023033.0,2953038352.0,,1860540813.131313,-50931485556.0,-3787590521.0,109006434743.0,54287358666.0,3801293917.0,-47130191639.0,
VINS.JK,2024-03-31,,,217216103674.0,7273569492.0,,,,,65996568250.0,151219535424.0,,151219535424.0,23118672983.0,,,,,,1170029334.0,,,1170029334.0,,,,1462536667.5,1976979047.0,2404086435.0,-269904102.0,4111161380.0,5433900.0,1982412947.0,1170029334.0
ZINC.JK,2024-03-31,560437796637.0,2026119090679.0,2586556887316.0,,,41006201894.0,444436232373.0,1419465136804.0,1863901369177.0,722655518139.0,1538332301172.0,722955893464.0,66607325785.0,50268436893.0,16338888892.0,17750138113.0,34089027005.0,-55900527402.0,-21811500397.0,0.0,-1929646595.0,-19881853802.0,30364981358.0,8553480961.0,,25166903546.83544,32294566643.0,-7186055776.0,-30551002720.0,-5442491853.0,7173121485.0,39467688128.0,
TRUS.JK,2024-03-31,,,429898209095.0,12273700.0,,12273700.0,,,47542619476.0,382355589619.0,,382355589619.0,5891048365.0,,5891048365.0,5891048365.0,6287484743.0,,6287484743.0,-1185504407.0,,5101980336.0,,,,799683438.2445141,-67274144380.0,-1713384974.0,-165407847.0,-69152937201.0,1719384974.0,-65554759406.0,
CBRE.JK,2024-03-31,32237333314.0,325916772528.0,358154105842.0,,,8571708291.0,35194244688.0,152332299860.0,187526544548.0,170627561294.0,170384057412.0,170627561294.0,15098281935.0,7294971396.0,7803310539.0,2151777607.0,9955088146.0,-7829242062.0,2125846084.0,-181179383.0,,1944666701.0,3555716990.0,5681563074.0,,4522480700.0,884304696.0,-168362748383.0,2464669599.0,-165013774088.0,168362748383.0,169247053079.0,
KMDS.JK,2024-03-31,171882804898.0,94594431621.0,266477236519.0,,,46454535602.0,40996573929.0,4579377698.0,45575951627.0,220901284892.0,862617560.0,220566460609.0,88303390069.0,59447720201.0,28855669868.0,12349005393.0,41204675261.0,-24330569300.0,16874105961.0,-3585372120.0,-2329450.0,13291063291.0,22668236.0,16896774197.0,,781827252.4117647,9911116837.0,-61924514.0,-173384234.0,9675808089.0,61924514.0,9973041351.0,
JKSW.JK,2024-03-31,36460866058.0,118480081710.0,154940947768.0,,,5561072240.0,10656994060.0,639260330702.0,649917324762.0,-494976376994.0,,-494976376994.0,,,,3756641244.0,3756641244.0,,,,,-1095708706.0,738200.0,,,-43758334.90415336,-644164619.0,,,-644164619.0,,,
LRNA.JK,2024-03-31,20666628530.0,327710106610.0,348376735140.0,,,2529938804.0,20379735998.0,30855930832.0,51235666830.0,297141068310.0,6459148897.0,297141068310.0,19061863968.0,22464087481.0,-3402223513.0,6651811895.0,3249588382.0,-12687894439.0,-9438306057.0,,,-9438306057.0,170002719.0,-9268303338.0,,349955730.70077866,-621681067.0,,2523193717.0,1901512650.0,,,
FISH.JK,2024-03-31,338317000.0,130270762.0,468587762.0,,,50008849.0,238578169.0,43338942.0,281917111.0,186670651.0,134277610.0,178555858.0,389921778.0,369709819.0,20211959.0,7201100.0,27413059.0,-14476598.0,12936461.0,-2785787.0,159589.0,9991085.0,2601978.0,15538439.0,,480000000.0,711563.0,-1347292.0,-12562820.0,-13198549.0,1391525.0,2103088.0,
FAST.JK,2024-03-31,965854023000.0,2999019039000.0,3964873062000.0,,,209868302000.0,2099557239000.0,1330014569000.0,3429571808000.0,535301254000.0,1296779240000.0,524025918000.0,1178609484000.0,514429807000.0,664179677000.0,903575192000.0,1567754869000.0,-1818973751000.0,-251218882000.0,54134618000.0,-872485000.0,-196211779000.0,19520069000.0,-231698813000.0,,4004322.0204081633,68579856000.0,-88842993000.0,20451291000.0,188154000.0,82739889000.0,151319745000.0,
RMKE.JK,2024-03-31,1127327000074.0,1082474090308.0,2209801090382.0,,,19774884584.0,606100681699.0,81024768382.0,687125450081.0,1522675640301.0,457570786895.0,1507710316745.0,585855230310.0,514329706372.0,71525523938.0,20495060201.0,92020584139.0,-43370256239.0,48650327900.0,-10885688578.0,-6812578461.0,44577217783.0,9840609412.0,58490937312.0,,4374604296.663396,131987820068.0,-64779074011.0,-43094681831.0,24114064226.0,108977552749.0,240965372817.0,
PYFA.JK,2024-03-31,968996556348.0,943195892544.0,1912192448892.0,,,453647721635.0,331607628159.0,1268841774525.0,1600449402684.0,311743046208.0,1397444319574.0,311517279885.0,151635602123.0,92569139624.0,59066462499.0,82499400182.0,141565862681.0,-186882520452.0,-45316657771.0,0.0,-17561.0,-45316640210.0,26624530441.0,-18692127330.0,,535088442.6732791,-30507969447.0,-1038892282.0,395225672309.0,363678810580.0,1158623864.0,-29349345583.0,
BUDI.JK,2024-03-31,1917499000000.0,1595370000000.0,3512869000000.0,,,68672000000.0,1446867000000.0,452120000000.0,1898987000000.0,1613882000000.0,1402139000000.0,1487779000000.0,968170000000.0,857545000000.0,110625000000.0,46726000000.0,157351000000.0,-129059000000.0,28292000000.0,-5737000000.0,1757000000.0,20798000000.0,31540000000.0,59832000000.0,,4501.731601731602,-75436000000.0,-44749000000.0,72035000000.0,-48150000000.0,26947000000.0,-48489000000.0,
DUTI.JK,2024-03-31,7700575504487.0,7497779452455.0,15198354956942.0,,,2975025834077.0,3015526895953.0,463807659998.0,3479334555951.0,11719020400991.0,2092465377.0,10429028823374.0,892411672804.0,350156042240.0,542255630564.0,263255384021.0,805511014585.0,-542407542743.0,263103471842.0,-613295523.0,103906065437.0,262490176319.0,35862165818.0,298965637660.0,,1850024625.314979,58139013288.0,17427161643.0,23760740000.0,99326914931.0,23230553116.0,81369566404.0,
TBMS.JK,2024-03-31,115365718.0,28031125.0,143396843.0,,,16214416.0,75043141.0,91871.0,75135012.0,68261831.0,32675203.0,68261831.0,192923385.0,188170172.0,4753213.0,1551191.0,6304404.0,-3733235.0,2571169.0,-583430.0,,1987739.0,668941.0,3240110.0,,198773900.0,-3683252.0,-62667.0,-4437340.0,-8183259.0,62667.0,-3620585.0,
FMII.JK,2024-03-31,181865000000.0,598066000000.0,779931000000.0,,,2052000000.0,87121000000.0,20967000000.0,108088000000.0,671843000000.0,65224000000.0,671555000000.0,9716000000.0,4560000000.0,5156000000.0,2541000000.0,7697000000.0,-5051000000.0,2646000000.0,-122000000.0,,2524000000.0,7000000.0,2653000000.0,,6471794871.794871,1705000000.0,3439000000.0,-4703000000.0,441000000.0,,,
SMLE.JK,2024-03-31,153109994134.0,24653162228.0,177763156362.0,,,66327254076.0,65759869182.0,9361185005.0,75121054187.0,102642102175.0,22087108051.0,102642102175.0,58094652340.0,43214661250.0,14879991090.0,9337911730.0,24217902820.0,-22766842018.0,1451060802.0,-630777679.0,,820283123.0,586409913.0,2037470715.0,,1079319898.6842103,-11726103320.0,-2029096104.0,78883989331.0,65128789907.0,2029096104.0,-9697007216.0,
PTPP.JK,2024-03-31,31237282807696.0,25408700279053.0,56645983086749.0,,,4150675589911.0,27108153042723.0,14220112227257.0,41328265269980.0,15317717816769.0,20080776719367.0,11829353311115.0,4611622581548.0,4083487661590.0,528134919958.0,248481008935.0,776615928893.0,-580852239011.0,195763689882.0,-149095742652.0,-47932890174.0,94600837404.0,264741755004.0,460505444886.0,,6306722493.6,-840011714621.0,-150489331770.0,760615097907.0,-229885948484.0,320027659792.0,-519984054829.0,
ASJT.JK,2024-03-31,,,564265884973.0,11764015764.0,,,,,239805523302.0,324460361671.0,,324460361671.0,94314977927.0,,,,,,1037433184.0,-228235260.0,,809197924.0,,,,1395168834.4827588,-949995775.0,2756242843.0,,1806247068.0,198300419285.0,197350423510.0,809197924.0
KOCI.JK,2024-03-31,72030808995.0,67878718938.0,139909527933.0,,,26180482239.0,11640553170.0,795000696.0,12435553866.0,127473974067.0,423647117.0,127473974067.0,20694622747.0,11833546244.0,8861076503.0,2657618226.0,11518694729.0,-5180279692.0,6338415037.0,-306034277.0,,6032380760.0,13536623.0,6351951660.0,,4403197635.036496,8941093717.0,-8667537104.0,-158069041.0,115487572.0,8687094874.0,17628188591.0,
PTIS.JK,2024-03-31,9695454.0,25969064.0,35664518.0,,,3615895.0,3399454.0,11131599.0,14531053.0,21133465.0,,21133153.0,4883021.0,3729234.0,1153787.0,675378.0,1829165.0,-1594868.0,234297.0,-50343.0,-8634.0,192588.0,72177.0,306474.0,,481470000.0,1836841.0,-548481.0,-72177.0,1216183.0,548481.0,2385322.0,
ZBRA.JK,2024-03-31,2493731062984.0,789397765293.0,3283128828277.0,,,14071659823.0,1870321951817.0,298414611590.0,2168736563407.0,1114392264870.0,1106540855351.0,1096723074780.0,1724458039618.0,1368355683895.0,356102355723.0,353792956526.0,709895312249.0,-849570814609.0,-139675502360.0,-5078187676.0,-6133746489.0,-138619943547.0,163134550045.0,23459047685.0,,-2510776010.632132,297409649147.0,-3813545139.0,-296682938070.0,-3086834062.0,4583448220.0,301993097367.0,
INAF.JK,2024-03-31,236400691761.0,555833406056.0,792234097817.0,,,12373284388.0,1323521209293.0,326808846001.0,1650330055294.0,-858095957477.0,132882325443.0,-858077365695.0,43637479215.0,43346716647.0,290762568.0,42594373312.0,42885135880.0,-97105562710.0,-54220426830.0,276727619.0,-160038.0,-53943539173.0,9919286767.0,-44301140063.0,,3098422698.047099,-21797407560.0,-379109439.0,17478964691.0,-4697552308.0,50000000.0,-21747407560.0,
CGAS.JK,2024-03-31,260160062289.0,92197275387.0,352357337676.0,,,144889484357.0,57855739129.0,50788693754.0,108644432883.0,243712904793.0,30487100173.0,232819087264.0,130405800294.0,111835506155.0,18570294139.0,15268929625.0,33839223764.0,-29931284487.0,3907939277.0,-858705693.0,146477086.0,2902756498.0,485174769.0,4393114046.0,,65971738.59090909,-65169787488.0,14297976767.0,177848379072.0,126976568351.0,1350141960.0,-63819645528.0,
RANC.JK,2024-03-31,562105838000.0,764388856000.0,1326494694000.0,,,127641454000.0,744769806000.0,295696682000.0,1040466488000.0,286028206000.0,481345775000.0,282491493000.0,734392432000.0,553334611000.0,181057821000.0,195892675000.0,376950496000.0,-390517862000.0,-13567366000.0,404697000.0,-32816000.0,-13129853000.0,10571235000.0,-2996131000.0,,164123162.5,51986410000.0,-28147316000.0,-19243834000.0,4595260000.0,17414102000.0,69400512000.0,
ZATA.JK,2024-03-31,463419145855.0,248782749136.0,712201894991.0,,,13842297991.0,78773452013.0,104661493284.0,183434945297.0,528766949694.0,67305128980.0,528766700132.0,64154800725.0,31255961188.0,32898839537.0,23542124772.0,56440964309.0,-49657802314.0,6783161995.0,,-3483.0,6783165478.0,3029128167.0,9812290162.0,,8478956847.5,7089117169.0,-489655686.0,-2353675267.0,4245786216.0,501736996.0,7590854165.0,
CTBN.JK,2024-03-31,146998326.0,41312598.0,188310924.0,,,15311852.0,75677493.0,7378853.0,83056346.0,105254578.0,290598.0,105252636.0,46470026.0,37220512.0,9249514.0,5582737.0,14832251.0,-11151966.0,3680285.0,-802601.0,212.0,2877472.0,,,,719368000.0,8135245.0,-282781.0,-245325.0,7607139.0,284611.0,8419856.0,
HAIS.JK,2024-03-31,325369888004.0,625406025739.0,950775913743.0,,,154263796376.0,135812258527.0,119120132408.0,254932390935.0,695843522808.0,144029786597.0,693624902715.0,243376310539.0,185966977461.0,57409333078.0,22378804418.0,79788137496.0,-46645151469.0,33142986027.0,-3438969803.0,119051804.0,29584964420.0,3391130388.0,36534116415.0,,2625107756.876664,39380430185.0,-22132874367.0,-11137856942.0,6109698876.0,24811326939.0,64191757124.0,
KIAS.JK,2024-03-31,302383013720.0,705056772481.0,1007439786201.0,,,29703557735.0,159072074160.0,29418891130.0,188490965290.0,818948820911.0,25785489340.0,757231047153.0,160217446015.0,151910114673.0,8307331342.0,9817470924.0,18124802266.0,-19010527844.0,-885725578.0,,51619082.0,-937344660.0,53945017.0,-831780561.0,,14928247491.638796,-47688227542.0,-2390204966.0,24823675508.0,-25254757000.0,2390204966.0,-45298022576.0,
IMJS.JK,2024-03-31,10477674258064.0,18931284770231.0,29408959028295.0,,,1591794218845.0,11394821154793.0,13279992218204.0,24674813372997.0,4734145655298.0,23677183195528.0,4357908821857.0,1379798733346.0,829002823654.0,550795909692.0,337643393939.0,888439303631.0,-823908624737.0,64530678894.0,-33618225756.0,-19753860738.0,50666313876.0,205464808295.0,269995487189.0,,8660908354.871796,-191071495617.0,-318997915118.0,432080787461.0,-77988623274.0,322852076646.0,131780581029.0,
BABY.JK,2024-03-31,573931961942.0,263921833167.0,837853795109.0,,,56931034539.0,223775009492.0,129380584877.0,353155594369.0,484698200740.0,162738994137.0,484592610293.0,267056369439.0,155587655970.0,111468713469.0,138784828856.0,250253542325.0,-275717245494.0,-25463703169.0,821705344.0,1245425.0,-24643243250.0,3242562491.0,-22221140678.0,,2355950597.51434,-21934787158.0,-4330501006.0,18307610706.0,-7957677458.0,4330501006.0,-17604286152.0,
PIPA.JK,2024-03-31,126883727512.0,55071829146.0,181955556658.0,,,11410041614.0,31100014394.0,4393421680.0,35493436074.0,146462120584.0,16147297717.0,146461879745.0,6854772554.0,4816709635.0,2038062919.0,1360721671.0,3398784590.0,-3176451829.0,222332761.0,,5682.0,222327079.0,320889708.0,543222469.0,,2779088487.5,-376343108.0,11075786524.0,-10720655133.0,-21211717.0,961371475.0,585028367.0,
INDR.JK,2024-03-31,293995371.0,503794179.0,797789550.0,,,10863055.0,285731693.0,104481251.0,390212944.0,407576606.0,115872513.0,403434092.0,220689101.0,221620572.0,-931471.0,5805097.0,4873626.0,-14812008.0,-9938382.0,2350649.0,-631.0,-7587102.0,1732715.0,-8205667.0,,163515129.31034485,6369289.0,-4268394.0,-3623576.0,-1522681.0,3675719.0,10045008.0,
MSJA.JK,2024-03-31,46380549.0,67307333.0,113687882.0,,,25197444.0,18765077.0,10433599.0,29198676.0,84489206.0,17998905.0,81851049.0,17357013.0,14478722.0,2878291.0,1493727.0,4372018.0,-3980110.0,391908.0,-56531.0,-9963.0,345340.0,348112.0,740020.0,,5755666666.666667,1125512.0,-5498845.0,8944499.0,4571166.0,5501791.0,6627303.0,
SKBM.JK,2024-03-31,1069617958656.0,757128051584.0,1826746010240.0,,,329195475784.0,659225950548.0,97094265916.0,756320216464.0,1070425793776.0,502217236225.0,1001705990307.0,567136830572.0,485869814736.0,81267015836.0,68858504525.0,150125520361.0,-145886882606.0,4238637755.0,-2221930980.0,-362456862.0,2379163637.0,9839446582.0,14078084337.0,,1724031621.014493,105820654299.0,-7232944588.0,-63119184077.0,35468525634.0,7614220206.0,113434874505.0,
TEBE.JK,2024-03-31,471680730000.0,699678290000.0,1171359020000.0,,,425374540000.0,42018607000.0,17035749000.0,59054356000.0,1112304664000.0,,1104265454000.0,97333653000.0,58984378000.0,38349275000.0,9597656000.0,47946931000.0,-15341101000.0,32605830000.0,-7390727000.0,177116000.0,25037987000.0,9138000.0,32614968000.0,,1285317.6078028746,18887645000.0,3192419000.0,-100215000.0,21979849000.0,295281000.0,19182926000.0,
BAPA.JK,2024-03-31,22925195111.0,111029209026.0,133954404137.0,,,413539508.0,9193143021.0,544771195.0,9737914216.0,124216489921.0,3000000000.0,124203223808.0,521206581.0,398356384.0,122850197.0,1487875796.0,1610725993.0,-3115204491.0,-1504478498.0,-32196248.0,,-1536674746.0,140034340.0,-1364444158.0,,642960144.7698745,-967188955.0,270827167.0,159468000.0,-536893788.0,1677833.0,-965511122.0,
APLN.JK,2024-03-31,11033538375000.0,17166681319000.0,28200219694000.0,,,670816801000.0,8510977982000.0,6387078445000.0,14898056427000.0,13302163267000.0,7472885439000.0,10569772742000.0,712796734000.0,446086746000.0,266709988000.0,234751498000.0,501461486000.0,-587993284000.0,-86531798000.0,-23448904000.0,16509461000.0,-109980702000.0,110221924000.0,23690126000.0,,22709185.45780969,44992300000.0,-1424320000.0,-142890484000.0,-99322504000.0,11227077000.0,56219377000.0,
BCIP.JK,2024-03-31,348984150230.0,543456959398.0,892441109628.0,,,10806684331.0,88892438752.0,313065990688.0,401958429440.0,490482680188.0,54386910520.0,475540927348.0,33102527393.0,16861941069.0,16240586324.0,8891972648.0,25132558972.0,-14555666144.0,10576892828.0,-1374165772.0,504209220.0,9202727056.0,,,,1430677275.6578946,-3915559212.0,-2827260564.0,-2562782014.0,-9305601790.0,1087980760.0,-2827578452.0,
CASS.JK,2024-03-31,1128204000000.0,917855000000.0,2046059000000.0,,,539405000000.0,742967000000.0,135492000000.0,878459000000.0,1167600000000.0,100426000000.0,787592000000.0,618533000000.0,456197000000.0,162336000000.0,,162336000000.0,14956000000.0,177292000000.0,-41961000000.0,64644000000.0,73612000000.0,3647000000.0,180939000000.0,,2103.2,118551000000.0,-18472000000.0,-13827000000.0,86252000000.0,18559000000.0,137110000000.0,
ENRG.JK,2024-03-31,244514957.0,1178605640.0,1423120597.0,,,70087059.0,382531196.0,438027432.0,820558628.0,602561969.0,306118193.0,673164218.0,97279717.0,64095082.0,33184635.0,5547307.0,38731942.0,-24165685.0,14566257.0,3118536.0,15085.0,17669708.0,8223981.0,22790238.0,,24886912676.05634,23604958.0,-44665995.0,8482195.0,-12578842.0,49492593.0,73097551.0,
